Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
TMEM205	MBC3205, UNQ501	ENSG00000105518	Q6UW68	Endoplasmic reticulum
TMEM209	FLJ14803, NET31	ENSG00000146842	Q96SK2	Nuclear membrane, Nuclear speckles, Vesicles
TMEM221		ENSG00000188051	A6NGB7	Nuclear membrane
TMEM223	MGC3196	ENSG00000168569	A0PJW6	Nucleoplasm, Nuclear membrane, Mitochondria
TMEM47	BCMP1, DKFZp564E153, DKFZP761J17121, TM4SF10, VAB-9	ENSG00000147027	Q9BQJ4	Nuclear membrane
TMPO	LAP2, LEMD4, TP	ENSG00000120802	P42166, P42167	Nuclear membrane
TMX4	DJ971N18.2, KIAA1162, PDIA14, TXNDC13	ENSG00000125827	Q9H1E5	Nuclear membrane
TNFAIP2	B94, EXOC3L3	ENSG00000185215	Q03169	Golgi apparatus, Cytosol
TNFSF15	MGC129934, MGC129935, TL1, TL1A, VEGI, VEGI192A	ENSG00000181634	O95150	Nuclear membrane
TNKS	PARP-5a, PARP5A, pART5, TIN1, TINF1, TNKS1	ENSG00000173273	O95271	Nucleoplasm
TNRC18	CAGL79, KIAA1856, TNRC18A	ENSG00000182095	O15417	Nucleoplasm, Nuclear membrane, Mitochondria
TOR1A	DQ2, DYT1	ENSG00000136827	O14656	Nuclear membrane, Vesicles
TOR1AIP1	FLJ13142, LAP1B	ENSG00000143337	Q5JTV8	Nuclear membrane
TPR		ENSG00000047410	P12270	Nuclear membrane
TRPM2	EREG1, KNP3, LTRPC2, NUDT9H, NUDT9L1, TRPC7	ENSG00000142185	O94759	Nuclear membrane
TTLL2	C6orf104, dJ366N23.3, NYD-TSPG	ENSG00000120440	Q9BWV7	Nuclear membrane, Nucleoli
TXNL4A	DIB1, DIM1, HsT161, SNRNP15, TXNL4, U5-15kD	ENSG00000141759	P83876	Nucleoplasm, Nuclear membrane
UHRF1BP1	C6orf107, dJ349A12.1, FLJ20302, ICBP90	ENSG00000065060	Q6BDS2	Nucleoplasm, Nuclear membrane
UPK3A	UPK3	ENSG00000100373	O75631	Nuclear membrane
UTP18	CGI-48, WDR50	ENSG00000011260	Q9Y5J1	Nucleoli
XPO1	CRM1, emb	ENSG00000082898	O14980	Nucleoplasm, Nuclear membrane
YEATS4	GAS41, NuBI-1, YAF9	ENSG00000127337	O95619	Nucleoplasm
YTHDF3	FLJ31657	ENSG00000185728	Q7Z739	Nuclear speckles
ZBED1	ALTE, DREF, hDREF, KIAA0785, TRAMP	ENSG00000214717	O96006	Nucleoplasm
ZBED6CL	C7orf29	ENSG00000188707	Q96FA7	Nuclear membrane
ZBTB1	KIAA0997, ZNF909	ENSG00000126804	Q9Y2K1	Nucleoplasm, Nuclear membrane
ZBTB41	DKFZp686C06120, FLJ36199, FRBZ1, ZNF924	ENSG00000177888	Q5SVQ8	Nuclear membrane, Cytosol
ZBTB9	MGC23166, ZNF919	ENSG00000213588	Q96C00	Nucleoplasm
ZC3H12C	KIAA1726, MCPIP3	ENSG00000149289	Q9C0D7	Nuclear membrane, Golgi apparatus
ZC3H13	DKFZp434D1812, KIAA0853	ENSG00000123200	Q5T200	Nuclear membrane, Actin filaments
ZC3HC1	NIPA	ENSG00000091732	Q86WB0	Nucleoplasm, Nuclear membrane
ZCCHC14	BDG29, MGC14139	ENSG00000140948	Q8WYQ9	Nuclear membrane
ZDHHC16	APH2	ENSG00000171307	Q969W1	Nucleoplasm
ZFP82	KIAA1948, MGC45380, ZNF545	ENSG00000181007	Q8N141	Nucleoplasm, Cytosol
ZNF124	HZF-16, HZF16	ENSG00000196418	Q15973	Nucleoplasm, Nuclear membrane
ZNF213	CR53, ZKSCAN21, ZSCAN53	ENSG00000085644	O14771	Nucleoplasm, Nuclear membrane
ZNF224	BMZF-2, KOX22, ZNF255, ZNF27	ENSG00000267680	Q9NZL3	Nuclear membrane
ZNF292	bA393I2.3, KIAA0530, ZFP292, Zn-15, Zn-16	ENSG00000188994	O60281	Nucleoplasm, Nuclear membrane
ZNF324	ZF5128, ZNF324A	ENSG00000083812	O75467	Nucleoplasm, Nuclear membrane, Cytosol
ZNF329	FLJ12586	ENSG00000181894	Q86UD4	Nuclear membrane
ZNF354C	KID3	ENSG00000177932	Q86Y25	Nuclear membrane, Cytosol
ZNF383	FLJ35863	ENSG00000188283	Q8NA42	Nucleoplasm, Nuclear membrane
ZNF442	FLJ14356	ENSG00000198342	Q9H7R0	Nuclear membrane
ZNF484	BA526D8.4, FLJ33884	ENSG00000127081	Q5JVG2	Nucleoplasm
ZNF487	KRBO1, ZNF487P	ENSG00000243660	B1APH4	Nuclear membrane
ZNF626		ENSG00000188171	Q68DY1	Nuclear membrane, Vesicles
ZNF665	FLJ14345	ENSG00000197497	Q9H7R5	Nuclear membrane
ZNF749	FLJ16360	ENSG00000186230	O43361	Nucleoplasm, Nuclear membrane
